damageStats_blue,goldPerSecond_blue,jungleMinionsKilled_blue,level_blue,minionsKilled_blue,totalGold_blue,xp_blue,kill_blue,death_blue,assi_blue,tower_blue,tower_shield_blue,win_blue,damageStats_red,goldPerSecond_red,jungleMinionsKilled_red,level_red,minionsKilled_red,totalGold_red,xp_red,kill_red,death_red,assi_red,tower_red,tower_shield_red,win_red,dragon_blue,junr_blue,dragon_red,junr_red
17312,30,70,43,307,23050,26220,5.0,19.0,4.0,0.0,1.0,0.0,30184,30,86,49,386,31814,32806,19.0,5.0,18.0,1.0,13.0,1.0,0.0,1.0,1.0,0.0
24583,30,63,42,270,23651,25314,7.0,23.0,9.0,0.0,1.0,0.0,38624,30,79,49,375,33321,33223,23.0,8.0,23.0,1.0,13.0,1.0,,,,
26834,30,82,47,366,24503,29496,9.0,9.0,9.0,,3.0,1.0,26239,30,83,47,388,25704,29921,9.0,9.0,7.0,,4.0,0.0,1.0,0.0,0.0,1.0
29673,30,100,46,341,26891,29477,12.0,12.0,11.0,0.0,4.0,0.0,27513,30,58,47,393,28760,29147,12.0,12.0,14.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0
29774,30,92,48,390,28495,31682,13.0,11.0,8.0,0.0,8.0,0.0,34370,30,102,50,361,28411,32682,11.0,13.0,11.0,1.0,6.0,1.0,0.0,1.0,1.0,0.0
31435,30,76,47,293,29401,29687,17.0,16.0,24.0,0.0,5.0,1.0,33918,30,68,47,321,29507,29902,16.0,17.0,21.0,1.0,9.0,0.0,2.0,0.0,0.0,1.0
29333,30,72,46,313,26311,29621,13.0,17.0,12.0,,3.0,0.0,34689,30,56,47,341,30014,30181,17.0,13.0,15.0,,8.0,1.0,0.0,0.0,2.0,1.0
32548,30,92,48,383,31410,32180,17.0,8.0,17.0,1.0,7.0,1.0,25471,30,74,45,362,25734,27705,8.0,17.0,6.0,0.0,3.0,0.0,,1.0,,0.0
33852,30,83,49,397,32377,34407,18.0,8.0,19.0,2.0,14.0,1.0,28655,0,83,44,318,24304,26865,8.0,18.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
28198,30,92,47,327,27374,29318,15.0,14.0,13.0,,5.0,1.0,35139,30,68,46,316,28285,29605,14.0,15.0,12.0,,8.0,0.0,1.0,,0.0,
27506,30,85,46,298,27540,29326,13.0,12.0,16.0,1.0,5.0,0.0,31634,30,97,48,337,27297,31113,12.0,13.0,10.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0
34832,30,79,45,351,30610,29068,17.0,12.0,18.0,2.0,12.0,1.0,26914,30,76,45,335,26264,29353,12.0,17.0,15.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
30473,30,51,46,308,27182,29231,13.0,12.0,23.0,,6.0,0.0,33870,30,116,47,369,27666,31611,12.0,13.0,17.0,,6.0,1.0,0.0,1.0,2.0,0.0
37913,30,61,43,279,24633,25560,9.0,23.0,8.0,0.0,5.0,0.0,39050,30,83,49,343,34925,32587,22.0,9.0,20.0,4.0,15.0,1.0,0.0,0.0,1.0,1.0
27516,30,78,45,336,27302,27985,10.0,20.0,10.0,1.0,8.0,0.0,33981,30,87,47,356,30848,31106,20.0,11.0,22.0,1.0,8.0,1.0,1.0,1.0,0.0,0.0
27974,30,68,46,329,27992,28927,14.0,13.0,19.0,1.0,9.0,1.0,29337,30,77,44,328,26750,27323,13.0,14.0,20.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0
24868,0,66,37,198,20974,19842,5.0,35.0,9.0,0.0,4.0,0.0,51467,30,85,50,351,36747,33558,35.0,5.0,40.0,8.0,12.0,1.0,0.0,0.0,1.0,1.0
31238,30,93,46,369,27683,28183,12.0,15.0,13.0,1.0,6.0,0.0,31753,30,82,48,359,29279,32233,15.0,12.0,14.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0
29845,30,75,46,331,28383,29216,15.0,16.0,16.0,1.0,6.0,1.0,30216,30,76,47,359,28895,30918,16.0,15.0,20.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
23668,30,84,49,325,30185,32219,15.0,17.0,14.0,,8.0,0.0,26252,30,111,48,337,29668,32512,17.0,15.0,18.0,,10.0,1.0,0.0,1.0,1.0,0.0
28231,30,88,47,291,27334,29595,11.0,12.0,15.0,0.0,4.0,0.0,26955,30,88,47,314,29212,30546,12.0,11.0,8.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0
29235,30,53,44,327,26930,27562,12.0,17.0,16.0,1.0,6.0,0.0,36623,30,77,48,338,28507,30783,17.0,12.0,22.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0
